term,replacement
otak,otak
dipakek,pakai
revamp,revamp
granger,granger
appstore,appstore
siang,siang
handphone,hp
asa,asa
panas,panas
matchmaking,match
pro,pro
angin,angin
afkfeedtoxic,afk
pensiun,pensiun
mobil,mobil
kasi,kasih
kawan,kawan
komputer,komputer
nyaaku,nya
serius,serius
ngasi,kasih
malas,malas
hapasaja,hapus
wr,war
match,match
an,an
mvpemas,mvp
medal,medal
obsesi,obsesi
liat,liat
komentar,komentar
cari,cari
kerja,kerja
manfaat,manfaat
buang,buang
draft,draft
abng²,abang
gendong,gendong
grandmastermaster,grandmaster
kadang,kadang
ngepick,pick
layla,layla
exp,exp
hanabi,hanabi
jungler,jungler
franco,franco
narik,tarik
tigreal,real
rotasi,rotasi
haduh,haduh
analog,analog
ama,sama
sinyaltrus,sinyal
clasik,klasik
aneh,aneh
kaligw,kali
sampah,sampah
nih,nih
mu,kamu
buta,buta
map,map
ngetrol,troll
dn,dan
keluarga,keluarga
mainin,main
ficter,fighter
mage,mage
supotr,support
markman,markman
tank,tank
assassin,assasin
pokok,pokok
top,top
diamond,diamond
kasik,klasik
derad,dad
global,global
aduh,aduh
terimakasih,makasih
seru,seru
mundur,mundur
kena,kena
kill,kill
kesell,kesel
tu,itu
merah,merah
point,point
bodoh,bodoh
anjir,anjir
pake,pake
hpwifi,hp
simpan,simpan
muat,muat
adu,adu
setting,setting
kocakk,kocak
sportif,sportif
cobain,coba
joki,joki
ber,ber
ketemu,ketemu
duo,duo
trio,trio
fitur,fitur
black,black
list,list
dingin,dingin
sekian,sekian
dengar,dengar
keluh,keluh
kesahnya,kesah
enak,enak
trimakasi,makasih
montoon,moonton
muak,muak
kendala,kendala
end,dan
sengaja,sengaja
ngeluh,keluh
barusan,baru
war,war
tekan,tekan
pingnya,ping
mati,mati
langsung,langsung
lobby,lobi
apasih,apa
aelahhh,aelah
anehjaringan,aneh
lahkepental,mental
lahmaunya,mau
keluarkalo,keluar
nyari,cari
hubung,hubung
ulang,ulang
anehhhgak,aneh
recommend,rekomen
fix,fix
sieh,sih
grafik,grafik
btw,btw
ganteng,ganteng
loh,loh
yuk,yuk
buru,keburu
fiturfitur,fitur
tarik,tarik
banyaknya,banyak
perbanyak,banyak
win,win
rusak,rusak
team,tim
sepadan,padan
play,play
store,store
tua,tua
yth,yth
nyaman,nyaman
gabung,gabung
imbang,imbang
rate,rate
terminus,minus
laku,laku
feed,feed
disengaja,sengaja
seimbangmemakai,imbang
role,role
teratur,atur
komplit,complete
permain,main
nenangin,tenang
pikir,pikir
nambah,nambah
ster,streak
kocak,kocak
awaldi,awal
lobyy,lobi
aman,aman
ms,masih
ntah,entah
knp,kenapa
capai,capai
salah,salah
bantu,bantu
statistik,statistik
akunya,aku
im,im
the,the
best,best
perhatikan,perhatikan
lg,lagi
ny,nya
tanggal,tanggal
desember,desember
uninstall,uninstall
badutbadut,badut
lo,loh
sesui,sesuai
apalah,apa
error,error
pliss,plis
kyk,kayak
ngefrezze,freeze
ngefrezee,freeze
dah,dah
montage,montage
ngfrezze,freeze
kacau,kacau
spek,spesifikasi
lumayan,lumayan
device,device
patah,patah
merugikan,rugi
karenakan,karena
ganggu,ganggu
akibat,akibat
afkpengurangan,afk
kuota,kuota
full,full
nonstop,nonstop
epick,epic
timku,tim
sesal,kesal
kompak,kompak
usaha,usaha
juang,juang
padahalnsinyal,padahal
membuangbuang,buang
harga,harga
strees,stres
developer,developer
tinggal,tinggal
biarin,biarin
nyoba,coba
computer,komputer
mnit,menit
ngaco,kacau
busuk,burik
tibaw,tiba
buka,buka
live,live
streaming,streaming
buffer,buff
beli,beli
sayang,sayang
matching,match
terima,terima
bahagia,bahagia
belasan,belas
honor,honor
bentar,bentar
sekrng,sekarang
kemarin,kemarin
ngfreeze,freeze
ngefreeze,freeze
layar,layar
anj,anjing
kuatt,kuat
bangke,bangkai
gilaaa,gila
timm,tim
napaa,kenapa
tuhh,tuh
pke,pakai
cheat,cheat
matchmakingnya,matchmaking
dicapai,capai
murni,murni
temu,temu
mantan,mantan
ranknya,rank
jebak,jebak
dibawahnya,bawah
frustasi,frustasi
kesal,kesal
sinyalku,sinyal
tiba²,tiba
ku,aku
reset,reset
sulit,sulit
knk,kena
trs,terus
terkadang,kadang
trkadang,kadang
terllu,terlalu
gtu,gitu
enk,enak
syg,sayang
skrg,sekarang
up,up
unduh,unduh
slalu,selalu
penuh,penuh
mendadak,dadak
ngilang,hilang
ngawur,ngawur
lamamain,lama
party,party
jumpa,jumpa
penjokidurasi,joki
bintangkarna,bintang
bosan,bosan
putus,putus
unistall,uninstall
sampahh,sampah
alhamdulillah,alhamdulillah
lepas,lepas
aktivitas,aktivitas
rebahan,rebah
sial,sial
jenuh,jenuh
asyik,asik
santai,santai
playernya,player
ramah,ramah
cocok,cocok
lelah,lelah
penat,penat
pelit,pelit
patch,match
sorry,maaf
ter,ter
gantung,gantung
darksistem,darksistem
mantap,mantap
darah,darah
bagusenak,bagus
temantapi,teman
masalahnyatolonglah,masalah
diseimbanginsaya,seimbang
kemyticehhhh,mythic
kalisaya,kali
kokitu,kok
sayamaaf,saya
tersinggungthank,singgung
you,kamu
keren,keren
bbrapa,berapa
contohnya,contoh
bb,bb
asik,asik
woy,woy
pantesan,pantas
masukin,masuk
asia,asia
mending,mending
bagusdari,bagus
star,start
updatetan,update
maju,maju
diarahinskil,arah
kemudianbeli,kemudian
item,item
teken,tekan
momen,momen
kocakmales,kocak
anjay,anjay
niat,niat
greget,greget
am,am
astaghfirullah,astaghfirullah
magic,magic
chess,chees
