term,replacement
gamer,game
kenceng,kenceng
jd,jadi
baharu,baru
seolaholah,seolah
matimatian,mati
naikan,naik
ban,ban
disana,sana
jelekgame,jelek
iblisssss,iblis
munton,moonton
macthmakingnya,macthmaking
opsi,opsi
pengaruh,pengaruh
sembarang,sembarang
sangsi,sanksi
dimengerti,ngerti
loos,lose
trek,streak
anjg,anjing
lol,lol
new,new
asu,asu
los,los
selanjut,lanjut
kontollllllll,kontol
asuuu,asu
asuuuu,asu
asuuuuuuuuuuuuuuuuuuuu,asu
nd,nd
diml,mlbb
biarpun,biar
hadeuh,hadeh
selamanyakalo,selamanya
rubah,rubah
wish,wish
questquest,quest
emblem,emblem
sekalidan,sekali
emblememblem,emblem
tuhan,tuhan
kgk,tidak
mengoptimalisasi,optimal
ukur,ukur
sm,sama
pdhl,padahal
smuah,semua
zhuxin,zhuxin
tapinya,tapi
kacuali,kecuali
botnya,bot
dikalahin,kalah
tes,tes
standar,standar
mpl,mpl
lvl,level
partyan,party
minat,minat
mangkannya,makanya
protesada,protes
umpama,umpama
nihh,nih
lokal,lokal
kelompok,kelompok
req,request
logis,logis
rrq,rrq
selalau,selalu
gpp,gpp
kuasa,kuasa
banyakin,banyak
ah,ah
babi,babi
mendingan,mending
ulah,ulang
jan,jangan
mmr,mmr
elit,elit
skin²,skin
dikatain,kata
nyuruh,suruh
berkat,berkat
ditugaskan,tugas
kandung,kandung
scam,scam
kebawah,bawah
ilangin,hilang
tembus,tembus
tembok,tembok
gausah,gausah
tba,tiba
keulang,ulang
unlimitedbergantian,unlimited
hahah,haha
gam,game
menganbil,ambil
performa,perform
untk,untuk
memeng,memang
aga,agak
knpa,kenapa
akhirini,akhir
internetan,internet
lainya,lain
lancarudah,lancar
sihkarna,karena
ajmoonton,moonton
yaadi,jadi
muluu,mulu
dongmasa,dong
suu,asu
tampil,tampil
hadiah,hadiah
menguntungkan,untung
sonic,sonic
aditya,aditya
remeh,remeh
keseringan,sering
nabrak,nabrak
roleketemu,role
costom,costom
pouse,pouse
oknum,oknum
nyamanan,nyaman
sangka,sangka
penalti,penalti
lembekrugi,lembek
mertahanin,tahan
laghanya,lag
untung,untung
disayangkanbanyak,sayang
direspon,respon
maunya,mau
pantes,pantas
bubar,bubar
pertemukan,temu
bajak,bajak
tipu,tipu
rell,real
seimbangin,imbang
seruu,seru
kenal,kenal
tauu,tau
minus,minus
botdark,bot
please,please
moontoon,moonton
systemgw,sistem
kinerja,kerja
rugikan,rugi
joystick,joystick
anjinkk,anjing
vale,vale
rivem,revamp
blink,blink
coldown,cooldown
percepat,cepat
make,pakai
power,power
kesampean,sampai
berkontribusi,kontribusi
kompensasi,kompensasi
mail,email
protection,protect
draftpick,draftpick
solopemain,solo
dr,dari
titik,titik
curangnya,curang
nentuin,tentu
rekom,rekomen
obralnya,obral
marketing,marketing
langgan,langgan
berjam²,jam
berhri²,hari
nemu,nemu
lahap,lahap
storepaling,store
leg,lag
ketemuu,ketemu
buggeme,bug
squad,squad
tahan,tahan
gamee,game
minussnyaa,minus
terusayoklah,terus
saing,saing
sebelahsistem,sebelah
draftnya,draft
terjadii,jadi
legendyg,legend
mytick,mythic
epicyg,epic
ratakatanya,kata
tapiiiiiiii,tapi
ksih,kasih
tapiii,tapi
kalahhhhhh,kalah
apaaa,apa
gilatolong,gila
thanks,makasih
halah,halah
copot,copot
ngulang,ulang
naiknaik,naik
mentok,mentok
situ,situ
oi,oi
mainini,main
foke,fake
hadeuhsangat,hadeh
ngelapor,lapor
notif,notifikasi
dikitdikit,dikit
baper,baper
bantapi,ban
jebo,jebo
ngerepotin,repot
pdahal,padahal
kafang,kadang
gaji,gaji
putusputus,putus
custome,custom
jelang,jelang
keliling,keliling
masing²,masing
bunuh,bunuh
lord,lord
turtle,turtle
inisiasi,inisiasi
cenderung,cenderung
tar,tar
nyah,nya
taka,taka
ribet,ribet
meneganggkan,tegang
kerenbagus,keren
wayoutube,youtube
depelopernya,developer
kerena,karena
fasilitas,fasilitas
barang,barang
henphon,hp
peluang,peluang
hargai,harga
minimum,minimal
peroleh,oleh
ngeban,ban
ngntt,ngntt
endingnya,ending
segitu,gitu
bast,bast
muluk,muluk
noob,noob
ngacok,cok
laporin,lapor
rusakplayer,rusak
lawankami,lawan
solokalau,solo
emng,memang
vsknpa,kenapa
solokami,solo
montonn,moonton
rusakkadang,rusak
sendiringefrezzjaringan,freeze
lagmakin,lag
montonplayer,player
barujgn,baru
gamebagus,game
ramai,rame
kanini,kan
parahtim,parah
musuhkalau,musuh
lagsering,lag
eror,error
dalem,dalam
nana,nana
geratis,gratis
sekarangbye,sekarang
drag,drag
sngat,sangat
ngisi,isi
kosong,kosong
ngehibur,hibur
amitamit,amit
animasi,animasi
lawak,lawak
plissssss,plis
plisssss,plis
rumah,rumah
pet,pet
mo,mo
heri,heri
suyou,suyou
pink,pink
abis,habis
sensor,sensor
dtapi,tapi
alpha,alpha
nyakasih,kasih
bosenbosen,bosen
propeler,proper
ngendong,gendong
myt,mythic
samain,sama
rusuh,rusuh
samperin,samper
menambanh,tambah
scamm,scam
stiker,stiker
emot,emot
viralin,viral
koleksi,koleksi
persatu,satu
dirank,rank
sii,sii
kga,tidak
ketemuin,ketemu
sololah,solo
mesti,pasti
berani,berani
malesnya,malas
semangat,semangat
ngembangin,kembang
menggangu,ganggu
strik,streak
baikiya,baik
cobak,coba
ka,ka
retri,retri
legendnya,legend
kejam,kejam
biba,coba
losetrike,losestreak
kemari,kemari
seruh,seru
chi,chi
kesemuah,semua
ngeselin,kesal
sepi,sepi
ton,ton
montod,moonton
bocil,bocil
ngapain,apain
mytich,mythic
epiclegend,epic
ngeprank,prank
lewati,lewat
payah,payah
terosini,terus
tertolol,tolol
dosa,dosa
kurangi,kurang
bs,bisa
byk,banyak
acak,acak
rancang,rancang
sistemjaringan,sistem
tlg,tolong
speed,speed
tapii,tapi
pass,pas
edittambah,edit
babii,babi
majuu,maju
macht,match
setabil,stabil
asakn,asal
fitru,fitur
tolo,tolol
hebat,hebat
frem,frame
say,saya
mitic,mythic
butut,butut
good,good
emailnya,email
sandi,sandi
moontonnya,moonton
diganti,ganti
platfrom,platfrom
ditanggapi,tanggap
weekly,weekly
notifikasi,notifikasi
tnya,tanya
cs,cs
proses,proses
lanjutin,lanjut
tanggung,tanggung
pertanggung,tanggung
jawabnnyaa,jawab
adilmasa,adil
nyalalu,lalu
sprti,seperti
emelini,mlbb
nyapadahal,padahal
lancarterus,lancar
kenapajaringan,jaringan
lancarhp,lancar
ngelagkadang,lag
ngefreezgw,freeze
sy,saya
ngepram,prank
kimak,kimak
nasip,nasib
sedih,sedih
freeder,feed
low,low
lengkap,lengkap
marksman,marks
ragam,ragam
kecewadisaat,kecewa
kunci,kunci
membantusudah,bantu
formulir,formulir
alasan,alas
kirim,kirim
gmail,email
responsampe,respon
kekantor,kantor
dijakarta,jakarta
karya,karya
membantuterus,bantu
terbang,terbang
dichina,china
eazy,easy
bangetskill,skill
issue,issue
mainbahkan,main
benar²,benar
sehancur,hancur
itujadi,itu
dwon,down
internetwifi,internet
djajal,dajjal
kock,kok
toon,moonton
ksi,kasih
seberatnya,berat
sangatamat,sangat
menaikan,naik
ngasih²,kasih
mangkrakperbaikin,mangkrak
gjlss,gajelas
ituu,itu
disaran,saran
kampung,kampung
kota,kota
development,develop
ayo,ayo
lohh,loh
pengalamantolong,pengalaman
mainmenang,menang
baguuus,bagus
arah,arah
ult,ulti
mempan,mempan
apain,apain
deflover,developer
peebaiki,perbaiki
yaah,yah
updatenya,update
target,target
mengerti,ngerti
orangorang,orang
alihalih,alih
hadap,hadap
set,set
turtellord,turtle
ketik,ketik
ningakatin,tingkat
gr,gara
banayak,banyak
sebenernya,benar
pande,pandai
rotasih,rotasi
seimabangagar,imbang
moontonpdhl,moonton
wifinya,wifi
problemmalah,problem
patahgk,patah
gerakpas,gerak
mlbbmobile,mlbb
sanksihukumansisanya,sanksi
okeitu,oke
sih♡♡♡,sih
kpd,kepada
memberitahu,beri
spin,spin
rendahpaling,rendah
unggul,unggul
radak,radak
sayanya,saya
ngeleng,lag
pul,pul
brawel,brawl
metit,mythic
slesai,selesai
gimanah,gimana
depeloper,developer
enakin,enak
maennya,main
ngerasa,rasa
rankmalah,rank
lagicoba,lagi
selanjutnyadibikinkan,lanjut
yadan,yah
versi,versi
offlinesaat,offline
punyamalah,punya
kenak,kena
semuaada,semua
dj,dj
setel,setel
kalhaku,kalah
atastapi,atas
ituberarti,arti
terusbuat,terus
oflen,offline
betulin,betul
jaringannyakalau,jaringan
onlen,online
jaringannyayang,jaringan
lainnyaini,lain
asuselalu,selalu
tinggientar,tinggi
pleyernyaasu,pleyer
terusterusan,terus
pangkat,pangkat
derastis,drastis
gaada,tidak
marai,marah
noskror,noskor
rnk,rank
noskor,noskor
sebebarnya,bebar
mikirmikir,mikir
mate,mate
aim,aim
lock,lock
gacha,gacha
moontonai,moonton
cunrangi,curang
belah,belah
nafsu,nafsu
penasaran,penasaran
puqi,puqi
pantasseimbang,pantas
montot,moonton
lolot,lolot
darksiatem,darksistem
putusasa,putus
momton,moonton
grafiknya,grafik
bagibagi,bagi
skinnya,skin
matic,mythic
beh,beh
bangus,bagus
fiturfiturnya,fitur
guinevere,guinevere
warrior,warrior
stun,stun
duanya,dua
nomor,nomor
roamtank,roam
ngekill,kill
fremnya,frame
hd,hd
lornya,lord
bugbugnya,bug
ngebikin,bikin
pasmain,main
plus,plus
gema,game
updetnya,update
perilaku,perilaku
sebal,sebal
ajak,ajak
apabagi,apa
ampass,ampas
nanyak,nanya
mabuk,mabuk
maching,match
lemahmasih,lemah
naaah,nah
liatin,lihat
kesedot,sedot
erly,early
pascol,pas
epikkk,epic
seting,seting
pecah,pecah
solorank,solo
immoudah,sudah
jelekmuntun,jelek
duludulu,dulu
nyasekarang,sekarang
bagustolong,bagus
real,real
fake,fake
afdate,update
rom,roam
kentang,kentang
baguspengalaman,bagus
afkselalu,afk
afdateselalu,update
ulangmonton,ulang
lostrek,losestreak
nyasar,nyasar
metch,match
gmn,gimana
credit,credit
score,score
gapernah,gapernah
just,just
info,info
habisin,habis
ajalol,aja
binatang,binatang
manusia,manusia
menangsaya,menang
moontonmakin,moonton
heh,heh
fair,fair
ketemunya,ketemu
dh,dah
gubris,gubris
modal,modal
chipset,chipset
dimen,dimensi
frame,frame
memo,memori
sisah,sisa
tapijaringan,tapi
lancardan,lancar
lawanya,lawan
haram,haram
kol,call
skali,sekali
anying,anjir
timkatanya,tim
cog,cok
broken,broken
fokusin,fokus
luluh,luluh
lagdan,lag
chiterdan,cheater
treakaku,streak
bandkarena,ban
rankdan,rank
urut,urut
ditangani,tangan
sklian,kali
kalii,kali
runah,rumah
krna,karena
bngtt,banget
nunggu,nunggu
ngontoll,troll
cerewet,cerewet
ngatur,atur
sepuh,sepuh
mintolong,tolong
mainnyasaya,main
tolooooongg,tolong
cobakasian,coba
anjingggggg,anjing
montooon,moonton
anjingggggmakasih,anjing
mulusampai,mulu
delete,delete
mlntah,mlbb
jugaini,juga
saudi,saudi
ngebug,bug
periksa,periksa
arab,arab
jatah,jatah
clasicbrawl,klasik
stark,streak
kesalmakanya,kesal
mach,match
adildan,adil
geratisberikan,gratis
winsterakjangan,winstreak
loowe,low
winstreakya,winstreak
tun,tun
katamohon,kata
maklumi,maklum
salahsakian,salah
berikanjangan,beri
lupa,lupa
kolektor,kolektor
salahan,salah
giniaku,gini
sihkata,kata
guegk,tidak
lagknp,lag
cooo,cok
enta,entah
penyamarataan,rata
krusial,krusial
dirumah,rumah
china,china
mhetcking,matchmaking
gitungk,tidak
pernha,pernah
mimpi,mimpi
mitical,mythic
jagomusuh,musuh
gwteam,tim
bloonga,bodoh
indodi,indonesia
bloon,bodoh
mulubisa,mulu
lam,lag
anjcape,capek
aing,saya
citerjanggal,cheater
sumpahgw,sumpah
internetrelog,internet
samapas,sampah
lgipas,lagi
internetcoba,internet
lgimasuk,masuk
ngetroltolong,troll
anehkalau,aneh
posisitim,posisi
solid,solid
moontongame,moonton
sekarangnmakin,sekarang
disetel,setel
ngeremehin,remeh
larut,larut
dahlah,dah
relax,relax
dear,dear
costumer,costumer
service,service
kesah,kesah
omongin,ngomong
nemuin,temu
ripot,report
perbaikimain,perbaiki
assalamualaikum,assalamualaikum
warahmatullahi,warahmatullahi
wabarokatuh,wabarokatuh
bosantapi,bosan
moontondan,moonton
ngelag²,lag
tuduh,tuduh
optimalkan,optimal
menengah,tengah
partisipasi,partisipasi
hak,hak
stressssss,stres
diksh,kasih
mulus,mulus
kodisikan,kondisi
terkondisikan,kondisi
machmaking,matchmaking
staff,staff
tidur,tidur
gilaa,gila
benerr,benar
emass,emas
berantakan,berantak
capekk,capek
diperhatikan,perhatikan
benirin,benar
pause,pause
ahh,ah
overpawer,overpower
setarakan,setara
maii,mai
lemot,lelet
dikittttt,dikit
ngefreesh,freeze
lawanenemy,enemy
opsional,opsional
bth,butuh
gelak,gelak
dak,tidak
tan,dan
teman²,teman
mainsaya,main
mabartapi,mabar
sulitdan,sulit
gatot,gatot
kaca,kaca
wassalamualaikum,wassalamualaikum
wabarakatuh,wabarakatuh
stressmain,stres
boca,boca
mainnn,main
potensi,potensi
jagobiar,jago
soloosendiri,solo
bahasa,bahasa
bedain,beda
sunda,sunda
indonesia,indonesia
risih,risih
disensor,sensor
mute,mute
sing,sing
baleng,baleng
anzinkkkxxxggg,anjing
ti,ti
anjinkkkcccxxxggg,anjing
hmm,hm
mamang,mamang
devlopernya,developer
timbang,timbang
picknya,pick
kabur,kabur
dukung,dukung
ingamenya,game
ngebosenin,bosan
gakbisa,gabisa
chat,chat
fomo,fomo
effect,efek
old,old
basic,basic
merespon,respon
trolling,troll
sebalah,sebelah
classik,klasik
batasi,batas
thank,makasih
terserunamun,seru
mutu,mutu
saranku,saran
delayyy,delay
nampaknya,tampak
sananya,sana
menangkalahmenangkalah,menang
semuasedangkan,semua
maintolong,tolong
kedepannyamalass,malas
dahhitu,itu
jurus,jurus
ads,ada
playstore,playstore
mathmacingnya,matchmaking
ketimbang,timbang
kerjasama,kerjasama
kuasai,kuasa
hadehhh,hadeh
pertempuranya,tempur
mhon,mohon
jaringannyajaringan,jaringan
skillnya,skill
dipencet,pencet
menurus,turus
goblokkkkk,goblok
rekomendasi,rekomen
kamp,kamp
latih,latih
gratisantidak,gratis
kam,kamu
offlain,offline
berawel,brawl
telur,telur
balas,balas
chass,chass
mentang²,mentang
simtem,sistem
bisa²,bisa
cobaanya,coba
kukasi,kasih
kesaing,saing
tukang,tukang
nyampah,sampah
ngadain,adain
jatuh,jatuh
pintar,pintar
gratisin,gratis
adilsolo,adil
bermainjika,main
angkat,angkat
palyer,player
bermainbukan,main
gamebiarpun,game
xsemoga,semoga
mvpkalah,mvp
rankbintang,rank
menanglangsung,menang
tangan,tangan
bgtngga,banget
lama²,lama
mlbbsmakin,mlbb
ksini,sini
legnyapdhal,lag
signl,sinyal
msalahpas,masalah
seru²nya,seru
mlah,malah
ngelegtolglah,lag
gamenyatrs,game
updet,update
apjaringan,jaringan
dibiarin,biar
rungkadbikin,rungkad
ajslama,aja
ngapainbnyk,apain
gunaperbaiki,perbaiki
after,after
gegara,gara
maju²,maju
nyalahin,salah
roamer,roam
perfectcuma,perfect
adilkarena,adil
rendahmenengah,rendah
egoissebelum,egois
mainkanmisal,main
junglernanti,jungler
masingroamergoldexpdan,masing
nyamanjadi,nyaman
roleitu,role
skinya,skill
hitam,hitam
ngalamin,alamin
bgni,begini
headset,headset
bluetooth,bluetooth
legenda,legend
ngambil,ambil
kesana,kesana
senggol,senggol
batin,batin
dibasmi,basmi
timya,tim
disesusainkan,sesuai
kalou,kalau
emosian,emosi
dhepersi,stres
sakit,sakit
nangisan,nangis
beharap,harap
mas,mas
dihilngkan,hilang
kotor,kotor
systems,sistem
magicdust,magicdust
maksimal,maksimal
heroskin,hero
apresiasi,apresiasi
diliran,giliran
bagusgamenya,bagus
doangtolong,doang
dimlsaya,mlbb
pls,plis
playerudah,player
berhentidari,berhenti
emosibikin,emosi
stresbuang,stres
waktugak,waktu
bng,bang
nyt,nyata
jga,juga
healing,healing
heuleng,healing
gelo,gila
baik²,baik
giveaway,giveaway
ws²,winstreak
zona,zona
episode,episode
denda,denda
direkomendasikan,rekomen
mendonwlod,download
bermasalahlawan,masalah
seimbanglawan,imbang
sistempas,sistem
klihatandimanagemennya,management
ketiga,tiga
telegram,telegram
skarang,sekarang
tautkan,taut
kembaliin,kembali
sangatt,sangat
untukk,untuk
mainkannketika,main
peka,peka
buff,buff
early,early
kaki,kaki
orange,orange
ungu,ungu
kecewagame,kecewa
perform,perform
gemar,gemar
burung,burung
samasama,sama
nagih,nagih
nambhin,nambah
alih,alih
ndak,tidak
kebanyak,banyak
ngetrollrebutan,troll
lanegame,lane
alucard,alucard
lightborn,lightborn
starlight,starlight
martis,martis
ijin,ijin
terap,terap
last,last
snowball,snowball
mainnkan,main
late,late
bagussemakin,bagus
kesinu,sini
menyenangkantapi,senang
scarlet,scarlet
phantom,phantom
bloodlust,bloodlust
axekarena,axe
mempengaruhi,pengaruh
herro,hero
lanedan,lane
alangkah,langkah
dikembalikancukup,kembali
terimakasihsukses,makasih
pancing,pancing
emosia,emosi
patahpatah,patah
sodaraku,saudara
adakah,ada
sengar,dengar
blum,belum
bugg,bug
teutama,utama
harley,harley
combo,combo
gero,hero
wkwkwkk,wkwk
losestreak,losestreak
cm,cuma
jngn,jangan
topup,topup
mnding,mending
semuah,semua
banyka,banyak
tanggapi,tanggap
nyatim,tim
lanerotasimikro,lane
makrosedangkan,makro
lanerotasi,lane
mikro,mikro
makro,makro
benerinjuga,benar
parahpantes,parah
sepibikin,sepi
berlima,lima
nyetak,cetak
lenged,legend
teamfight,fight
turtlelord,turtlelord
engmatch,match
hero²,hero
metadan,meta
montok,montok
kualifikasi,kualifikasi
bangbang,bangbang
kalu,kalau
diamon,diamond
om,om
ternganganganga,kaget
skinskin,skin
bagusbagus,bagus
minotour,mino
iri,iri
adaplis,ada
buatin,buat
mino,mino
apdet,update
omong,ngomong
diliat,lihat
ajh,aja
mb,mb
dowload,download
moontunnya,moonton
ngesetuck,stuck
nurunin,turun
temuin,temuin
tensi,tensi
sajamoonton,moonton
dongg,dong
rusakk,rusak
brp,berapa
skip,skip
tll,tolol
emangnya,memang
ekstrim,ekstrim
haha,haha
laaharus,harus
jugasama,juga
kitamanusia,kita
berusahasaya,usaha
nyaharus,harus
seimbangsaya,imbang
blablablasedangkan,sedang
semuabikin,semua
lahudah,udah
guys,guys
log,log
berkali²,kali
inipun,ini
errornya,error
taun,tahun
trssedangkan,sedang
abadi,abadi
me,me
biki,baik
esport,esport
core,core
coa,coa
diginiin,gini
lunox,lunox
nabung,nabung
sempit,sempit
updata,update
dipakai,pakai
ngeframe,frame
eksternal,eksternal
legendstetapi,legend
bugdan,bug
bermaintolong,main
hand,hand
phone,phone
koreksi,koreksi
area,area
jangkau,jangkau
kabupaten,kabupaten
gamedari,game
serim,sering
maengsedangkan,main
jagocape,jago
teruntuk,untuk
inimatchmaking,matchmaking
sampahcs,sampah
ngebantudari,bantu
matchmaking²,matchmaking
diberesin,beres
mact,match
randomnya,random
jagoo,jago
mainn,main
mnangnyaa,menang
meng,meng
install,install
instal,install
ntar,bentar
golong,golong
beginner,beginner
jokian,joki
taik,tai
dibawah,bawah
survival,survival
mono,mono
permanen,permanen
ngeblokir,blokir
terbatas,batas
dijelekin,jelek
jelekin,jelek
giniin,gini
mengasih,kasih
meresa,rasa
mindari,dari
signaldan,sinyal
signalnya,sinyal
makingnya,making
smpe,sampai
gd,gd
pure,pure
highrank,rank
dimiliki,milik
pemilihanban,pilih
kontras,kontras
gelap,gelap
ngerusak,rusak
kudapat,dapat
ketawa,tawa
ngasal,asal
mengapreasi,apreasi
kedepan,depan
tetcipta,cipta
publik,publik
pertandinganya,tanding
disisi,sisi
berdamage,damage
banding,banding
ks,kasih
sungguh,sungguh
chit,cheat
ketat,ketat
pkai,pakai
open,open
mic,mic
reload,reload
ehh,eh
huff,huff
tanggap,tanggap
andadiperbaiki,perbaiki
komitmen,komitmen
samasampah,sampah
dikeluhkan,keluh
kondisi,kondisi
bertanggungjawablah,tanggungjawab
katakata,kata
template,template
basi,basi
disistem,sistem
matchking,matchmaking
kyak,kayak
tetel,setel
cma,cuma
pelayer,player
mukin,mungkin
macking,matchmaking
myticlegend,mythic
tamen,tamen
maling,maling
bngt,banget
sistemu,sistem
tmenku,teman
gama,game
biyar,biar
seterus,terus
gasih,kasih
permutasi,mutasi
sukai,suka
rekan,rekan
tengok,tengok
dikejer,kejar
dicobain,coba
fanbase,fanbase
gede,besar
malu,malu
grakin,gerak
joint,join
lebihtidak,lebih
ngikut,ikut
nasib,nasib
pera,pera
gaming,game
cheaternya,cheater
garfik,grafik
mainorang,main
sterss,stres
hilangin,hilang
pasan,pas
crash,crash
ndk,tidak
ja,ja
janga,jangan
spam,spam
terburukkkkkkkkk,buruk
sistemmmmmmmmmmmmmmm,sistem
moontonnnnnnnnn,moonton
bend,ban
perunggu,perunggu
base,base
tengil,tengil
wifidata,wifi
seluler,seluler
delayberat,delay
fiturskin,fitur
dibacamoonton,moonton
canggih,canggih
bugwalau,bug
proteksi,protect
sytem,sistem
sanksitidak,sanksi
redup,redup
virus,virus
answer,answer
musu,musuh
monntod,moonton
resuace,resuace
konten,konten
berulang²,ulang
kontenskin,konten
didownload,download
complete,complete
loginpindah,login
acount,account
divace,device
cpu,cpu
sanggup,sanggup
resuacepengunduhan,resuace
terimakasi,makasih
quota,kuota
permisi,permisi
keempat,empat
kombinasi,kombinasi
huruf,huruf
angka,angka
perbaharui,baru
sendiriauto,sendiri
jaminmoonton,jamin
lawanskil,lawan
berpengaruhsinyal,pengaruh
berpengaruhini,pengaruh
smurf,smurf
radiasi,radiasi
minum,minum
ngerasain,rasa
itu²,itu
gausa,gausah
riwayat,riwayat
enak²,enak
obrakabrik,obrak
bahas,bahas
sajajadi,saja
sistemm,sistem
akhirinii,akhir
batingw,rate
peecintaan,cinta
iyaa,iya
jugatruss,juga
cobabtw,coba
moga,semoga
protes,protes
konfirmasi,konfirmasi
benahi,benah
deleted,delete
mythik,mythic
grading,grade
and,and
wajar,wajar
dungu,dungu
pengertian,arti
dibilangin,bilang
batinnnnn,batin
kesempatan,sempat
dapetin,dapet
imortaldan,immortal
mitych,mythic
dibeli,beli
mityc,mythic
vexana,vexana
cooldown,cooldown
sekil,skill
persingkat,singkat
celasic,klasik
turtel,turtle
hutan,hutan
taiikkk,tai
honnorr,honor
honnor,honor
taiikk,tai
lagittus,lagi
gitugitu,gitu
anjingg,anjing
jaringannyakesesuaian,jaringan
adilngasih,adil
botmusuh,bot
glorigua,glory
draksistemmonton,darksistem
donk,dong
stiap,setiap
alogaritma,algoritma
code,code
lebihhanya,lebih
buangbuang,buang
poko,pokok
menjelekan,jelek
lang,lang
sung,sung
pokonyaada,pokok
mythical,mythic
eximmortal,immortal
devlop,develop
asuk,masuk
dendam,dendam
biadap,biadap
ngebot,bot
kedip,kedip
deki,dek
mncapai,capai
mrekarank,rank
lbih,lebih
vpn,vpn
slow,slow
noh,noh
mreka,mereka
dibiarinsedangkan,biar
ajakin,ajak
laen,lain
kekudah,udah
gendong²,gendong
lucu,lucu
draksytem,darksistem
tampa,tanpa
nub,noob
inj,ini
kadan,kadang
stuk,stuck
kostumer,costumer
sevis,servise
bgi,bagi
keredit,kredit
bosanin,bosan
hedehhhh,hedeh
sesek,sesak
dada,dada
demage,damage
hey,hai
montol,moonton
gaperlu,gaperlu
bnerin,benar
midlaner,midlaner
stop,stop
cheimestri,chemistry
indomaret,indomaret
adilkan,adil
negara,negara
memprogram,program
ajakenapa,aja
draksystemini,darksistem
initolong,tolong
draksystem,darksistem
trimaksih,makasih
ngefreze,freeze
sendiripadahal,sendiri
datawifi,data
bagustambah,bagus
lagisaya,lagi
oy,oy
nyesuein,sesuai
nyesuain,sesuai
daek,dari
dibanyakinpercuma,banyak
dipikirinitu,pikir
bagusyakin,bagus
dilupain,lupa
nilai,nilai
dikurangin,kurang
bocilanehhh,aneh
akalmain,akal
sekaliini,sekali
judi,judi
online,online
sendiridan,sendiri
rasisme,rasis
agamasukudan,agama
inibagi,ini
perintah,perintah
inikalok,kalau
benarbenar,benar
seringseringlah,sering
gift,gift
teruslah,terus
kerasa,rasa
tegur,tegur
diwajarin,wajar
akalin,akal
disatuin,satu
nanamiyacicialuchard,nana
victory,victory
berkedok,kedok
romer,roam
kebayakan,banyak
helcurt,helcurt
seram,seram
direntang,rentang
asalandark,dark
apapun,apa
untungkan,untung
konsisten,konsisten
merespont,respon
papi,papi
legg,lag
seruuuuu,seru
teritama,utama
pemaim,player
alias,alias
duluteruntuk,untuk
denga,dengan
inidan,ini
favorite,favorite
dukatapi,duka
rankedkenapa,rank
anggap,anggap
vdan,dan
disatukan,satu
bgst,bangsat
kuda,kuda
lindung,lindung
ngeos,ngeos
moontonadanya,moonton
willisalim,willisalim
uksekian,sekian
wassalam,wassalam
mualaikum,mualaikum
putus²,putus
mastergrandmasterepic,grandmaster
apalgi,apalagi
ngecheat,cheat
diproses,proses
perkara,perkara
pekara,perkara
maksimalkan,maksimal
comeback,comeback
miliki,milik
proo,pro
drksistem,darksistem
atu,atau
kd,kd
kdyg,yang
sesuaii,sesuai
stemm,stem
baikii,baik
muntonn,moonton
devolover,devoloper
loes,lose
sistemsaya,sistem
mukil,pukul
bisabisanya,bisa
bronze,bronze
ngurangin,kurang
bp,berapa
berjamjam,jam
kocaq,kocak
sultan,sultan
facebookpas,facebook
terkaittidak,kait
najis,najis
kntod,kntod
jinggw,anjing
ngecrees,crash
hilangpadahal,hilang
wayfai,wifi
nyambung,sambung
muluhero,hero
bapuk,bapuk
delayketemu,delay
indolain,indonesia
jujurly,jujur
perfect,perfect
character,character
offlinee,offline
huhu,huhu
ranklevel,rank
devoloper,developer
diamondnya,diamond
didapetin,dapat
darimoonton,moonton
tumbuh,tumbuh
jelelkkk,jelek
gameee,game
burukkk,buruk
banggetttt,bangget
soooaaallllnyyyyaa,soal
lostrekk,losestreak
adilmasak,adil
septemberoktober,september
nelpon,telpon
sebentar,sebentar
masok,masuk
kepertandingnya,tanding
singal,sinyal
disayangkan,sayang
menjdi,jadi
kl,kl
nyolot,nyolot
losstreak,losestreak
wifiku,wifi
parahhpas,parah
dilobby,lobi
semuamana,semua
mabaran,mabar
prosinyal,sinyal
menggangguwaktu,ganggu
afkemamg,afk
gamelama,game
nyesel,sesal
dapt,dapat
palah,kalah
begomusuhnya,bego
bantai,bantai
gaes,guys
klok,kalau
paler,player
njir,anjir
elah,ealah
kyboard,kerboard
srius,serius
feedtidak,feed
bocah,bocah
freeplayer,ff
ngurusin,ngurus
gejelas,gejelas
jungle,jungler
orang²,orang
ngotot,ngotot
herolane,hero
lgsg,langsung
puji²,puji
akhirakhir,akhir
beramin,amin
janggan,jangan
trool,troll
darksytem,darksistem
sanggar,sanggar
ee,ee
sepadantim,tim
sistemnyakalok,sistem
ngerenk,rank
tinggitim,tinggi
selidiki,selidik
lagends,lagend
atasnya,atas
toll,troll
samsung,samsung
ui,ui
bangt,banget
tol,tolol
ajj,aja
tubrukin,tubruk
sinkron,sinkron
yamana,mana
curangksihan,curang
timbul,timbul
mulutolong,mulu
sayaengasih,kasih
yaudah,sudah
informasi,informasi
serutetapi,seru
pastinya,pasti
ratarata,rata
neraka,neraka
dongo,dongo
tolobg,tolong
sperti,seperti
telkomsel,telkomsel
srver,server
unistal,uninstall
dites,tes
kedalam,dalam
ggnya,gg
digame,game
mausistem,sistem
tambahancheater,cheater
dikarnakn,karena
stresss,stres
tambahi,tambah
