term,replacement
foto,foto
make,make
cheat,cheat
ultimate,ultimate
royal,royal
lolos,lolos
security,security
ngebanned,ban
alasan,alasan
deteksi,deteksi
ngecheat,cheat
esp,esp
gamenya,game
good,good
castle,castle
perdekat,dekat
ujung,ujung
ngasih,kasih
angin,angin
hujan,hujan
lobby,lobi
keren,keren
tapipas,tapi
liat,liat
hasil,hasil
rekapbuat,rekap
kek,kek
gitu,gitu
mah,mah
stag,stuck
menu,menu
teks,teks
download,download
obb,obb
service,service
internal,internal
ngeleq,lag
min,min
ram,ram
patah,patah
lelet,lemot
sip,sip
lahpubgwalaupun,pubg
dikeluarin,keluar
keluh,keluh
kunjung,kunjung
diperbaiki,perbaiki
fitur,fitur
replay,replay
hey,hey
dasar,dasar
apanya,apa
sorot,sorot
beda,beda
momen,momen
hadap,hadap
dimunculkantolol,muncul
gbisa,gabisa
sistem,sistem
mlu,mulu
dri,dari
zaman,zaman
covid,covid
ngalamin,alami
email,email
captha,capcha
rekam,rekam
merugikan,rugi
bagussaya,bagus
konten,konten
kreator,kreator
battle,battle
royale,royale
terseru,seru
komen,komen
ngak,tidak
dengerin,dengar
arti,arti
simpan,simpan
penuh,penuh
hapus,hapus
woyy,woy
pegang,pegang
tancent,tencent
nambah,nambah
minmemori,memori
belasan,belas
gigabutuh,gb
spek,spek
gmn,gimana
install,install
setart,start
ngk,tidak
bgkok,bug
enakan,enak
lagen,legend
taik,tai
sampah,sampah
saran,saran
pubgmadain,pubg
jugadan,juga
hilang,hilang
erangel,erangel
season,season
eventnya,event
gantiganti,ganti
jagan,jangan
erangeljujur,erangel
membosankanitu,bosan
admin,admin
sedikitt,sedikit
mapgtw,map
deket,deket
shelter,shelter
kejebak,jebak
pagar,pagar
gabisa,gabisa
bego,bodoh
random,random
setara,setara
bos,bos
verifikasi,verifikasi
tlp,telpon
aktif,aktif
kode,kode
daftar,daftar
nomor,nomor
notifikasi,notifikasi
karenakan,karena
jelasgame,jelas
costum,kostum
aneh²seperti,aneh
tema,tema
kerajaanbuat,kerajaan
legendlama²,legend
gametolong,game
dulutidak,dulu
beli,beli
diamond,diamond
temu,temu
dgn,dengan
acecrowntidak,acecrown
animasi,animasi
guling²,guling
parasut,parasut
nyentuh,sentuh
tanah,tanah
ganggu,ganggu
astaga,astaga
pergerakanya,gerak
robot,robot
detikpadahal,detik
versi,versi
fpsawokawokawok,fps
updatenya,update
sumber,sumber
kenal,kenal
gara,gara
koneksi,koneksi
kutu,kutu
