term,replacement
tindak,tindak
imfinite,infinite
ngestak,stuck
sepuh,sepuh
dimna,dimana
kroco,kroco
puncak,puncak
ketahuilah,tahu
meronta,ronta
ronta,ronta
pistol,pistol
pisau,pisau
bermainlah,main
bangun,bangun
dariku,dari
rek,rek
piye,gimana
iki,ini
cpe,capek
nyoba,coba
sgala,segala
pw,password
bner,benar
bsa,bisa
msuk,masuk
apaansj,apa
garafik,grafik
jawap,jawab
payload,payload
baja,baja
situ,situ
setel,setel
rebut,rebut
balas,balas
plis,plis
donk,donk
ngerasain,rasa
skinya,skin
panu,panu
yahh,yah
sdh,sudah
diupdate,update
beratsering,berat
ngelektolong,lag
uninstalmakasih,uninstall
amanaman,aman
kangen,kangen
alan,alan
walker,walker
duluapalagi,dulu
dalem,dalam
music,musik
jujur,jujur
lagiaku,lagi
inii,ini
idup,hidup
dapan,dapat
semenjak,sejak
fakum,fakum
oktober,oktober
iklanya,iklan
tiktok,tiktok
lucinta,lucinta
luna,luna
alanwalker,alanwalker
bangettttt,banget
tencen,tencent
arahin,arah
epep,ff
pengetahuan,tahu
langgar,langgar
pelestur,pelestur
padal,padhal
dobel,double
apl,apl
virus,virus
men,min
updatein,update
donggg,dong
disatuinnn,satu
video,video
ditungguin,tunggu
tololudah,tolol
acara,acara
cacad,cacat
lanjuti,lanjut
aqu,aku
sekipadahal,padahal
knapakok,kenapa
lamapadahal,lama
lobi,lobi
mobileapa,mobile
karana,karena
kucilkanjahat,jahat
kmu,kamu
plih,pilih
barusoal,baru
yth,yth
bidik,bidik
gimna,gimana
ikutin,ikut
sialwn,sial
pink,pink
mans,mana
gaje,gajelas
cih,cih
permasalahanya,masalah
yagrafik,grafik
loadingnya,loading
buang,buang
pdhal,padhal
sngat,sangat
suport,support
ngepush,push
tingkah,tingkah
erengel,erengel
sepetu,sepetu
teratur,atur
lapor,lapor
dibaned,ban
sengaja,sengaja
force,force
rejoin,rejoin
connection,connection
proses,proses
total,total
ful,full
sizenya,size
peras,peras
keseting,ting
loot,looting
genshin,genshin
jaya,jaya
unninstall,uninstall
problemnya,problem
urai,urai
klw,kalau
smpe,sampai
dahlah,dah
nyerah,nyerah
coy,coy
bwt,buat
unlock,unlock
divice,device
poco,poco
xproknapa,kenapa
kuda,kuda
kolaborasi,collab
modern,modern
perpanjang,panjang
momennya,momen
iqoo,iqoo
zx,zx
smoothextreme,smooth
chipset,chipset
snapdragon,snapdragon
gen,gen
pass,pas
pubgnya,pubg
paraselau,parah
jariganya,jaringan
terusgua,terus
mlnonton,nonton
tubetiktok,tiktok
lainjariganya,jaringan
bagusketika,bagus
pubgjariganya,pubg
tida,tidan
kakaruanpink,pink
lebihpadahal,lebih
lohinternal,internal
banyakmasih,banyak
lebihterus,lebih
kuranguntuk,kurang
deploper,developer
nyasetiap,setiap
abdetan,update
jarigan,jaringan
akses,akses
tatap,tatap
indah,indah
tahan,tahan
kil,kill
pangkat,pangkat
ngekil,kill
kocaak,kocak
tolool,tolol
fame,fame
bangsaath,bangsat
bbaby,baby
levelnya,level
penyimanan,simpan
donglot,download
pilij,pilih
gt,gitu
bnya,banyak
ngebosenin,bosen
mimpi,mimpi
gilir,gilir
tewasteam,mati
dada,dada
rusaksetiap,rusak
diicer,incar
red,red
zone,zone
byone,byone
redzone,redzone
gkgame,game
too,to
try,try
again,again
later,later
bwgitu,gitu
kebanyak,banyak
ilang²,ilang
bagus²,bagus
ajh,aja
yng,yang
stop,stop
lamamalahan,lama
filter,filter
kasarnegatif,kasar
klou,kalau
gaming,game
sprt,seperti
pemaulin,malu
jumpa,jumpa
live,live
serutapi,seru
midrange,midrange
entry,entry
optimasi,optimasi
sahabat,sahabat
low,low
adahal,padahal
sllu,selalu
sja,saja
burukterlalu,buruk
botfps,bot
fairplaymerugikan,fairplay
murni,murni
curang,curang
timbang,timbang
letak,letak
fairplaynyafairplay,fairplay
saji,saji
pemainterima,player
kepala,kepala
loqin,login
awaluntung,awal
lagibintang,lagi
ceket,ceket
kaset,kaset
realme,realme
narzo,narzo
balikin,balikin
kritik,kritik
raya,raya
tem,tem
costumer,costomer
solutif,solutif
komplen,komplain
topup,topup
spond,spond
island,island
skrang,sekarang
beta,beta
evendnya,event
susah²,susah
melobikan,lobi
eeh,eh
skr,sekarang
ace,ace
crown,crown
ampun,ampun
crash,crash
dimensity,dimensity
infinix,infinix
note,note
diurusin,urusin
ingame,game
highlight,highlight
wh,wh
lol,lol
coooooo,cok
link,link
slide,slide
notifnya,notif
oftenpdhl,sering
takken,takken
musicnya,musik
bp,bp
dibeli,beli
kirim,kirim
codenya,code
dimasukin,masuk
loginnya,login
sisa,sisa
relatif,relatif
thanks,makasih
ngleg,lag
ngpush,push
sore,sore
matcmaking,match
yakali,yakali
platinum,platinum
keburu,keburu
dikatain,dikatain
cupu,cupu
sesuaiin,sesuai
bro,bro
sekarangmasa,sekarang
tipis,tipis
darah,darah
biarpun,biar
armor,armor
cheattolong,cheat
benahi,benah
ahmpas,ampas
item,item
invinite,invinite
gemnya,game
lgsg,langsung
kluar,keluar
updet,update
banyaknya,banyak
teleportteleport,teleport
hit,hit
indikator,indikator
idiot,idiot
model,model
ditindaklanjuti,tindak
mass,mas
kamera,kamera
halah,halah
yaapa,yaapa
seh,sih
vs,vs
death,mati
gabut,gabut
kacau,kacau
cacat,cacat
mlah,malah
mna,mana
looting,looting
lawak,lawak
sangkut,sangkut
musih,masih
menembakterus,nembak
kemap,map
bagusgrafik,bagus
abdet,update
smakin,makin
baguskostumpakaian,bagus
ragam,ragam
fine,fine
masalh,masalah
minggu,minggu
putih,putih
sebentar,sebentar
basic,basic
muat,muat
risih,risih
ngapa,kenapa
rush,rush
spray,spray
tewas,tewas
jagotapi,jago
baikin,baik
promo,promo
sukai,suka
keluhanya,keluhan
dh,dah
bosen,bosen
kli,kali
koit,mati
bunyi,bunyi
sejata,senjata
cakep,cakep
syab,siap
updatean,update
extreme,extreme
ngangkat,angkat
bejibun,banyak
ambil,ambil
nihh,nih
jgan,jangan
truslah,terus
lo,lo
mapsnya,map
sanasini,sana
bootnya,bot
harga,harga
adaan,ada
pari,pari
blodmond,blodmond
kerjain,kerja
fram,frame
jngn,jangan
wortid,worth
notifikasi,notifikasi
ranning,running
pus,push
clasic,klasik
notif,notifikasi
aviable,available
plisss,plis
katax,kata
belari,lari
chit,cheat
atasi,atas
kiri,kiri
sajamohon,saja
injak,injak
edit,edit
sentuh,sentuh
texture,texture
kedip,kedip
hitam,hitam
kekontolan,kontol
pap,pap
sex,sex
jing,anjing
nenek,nenek
yesus,yesus
kntl,kntl
paham,paham
banayk,banyak
gfx,gfx
next,next
bgnst,bangsat
pingnya,pingin
pingin,pingin
samsak,samsak
doank,doang
laknat,laknat
lawanya,lawan
pabji,pabg
master,master
ngebuf,buf
ketua,ketua
awak,awak
sekedar,sekedar
streming,streaming
buf,buf
yh,yah
loh,loh
nembus,nembus
mokal,mokal
cod,cod
matrial,matrial
ngumpulin,kumpulin
botnya,bot
dateng,datang
rp,rp
kuning,kuning
digame,game
petunjuk,tunjuk
cek,cek
seditail,detail
berani,berani
dibanned,ban
permanent,permanen
minat,minat
dc,dc
relod,reload
framedrop,frame
perbaki,baik
otomatis,otomatis
bosa,bisa
pencet,pencet
nha,nya
macht,match
bawa,bawa
lagsung,langsung
cukuperugikan,cukup
uptdate,update
haduh,haduh
layan,layan
aju,aju
fecebook,facebook
ngeretas,retas
rate,rate
soc,soc
mediatek,mediatek
gpu,gpu
malig,maling
mc,mc
sebenarnye,benar
kelola,kelola
opsi,opsi
kepake,pakai
fokus,fokus
kmna,kemana
baningin,banding
kedepan,depan
thnks,makasih
sik,sik
sendi,sendi
makun,makun
prosesor,prosesor
exynos,exynos
lupa,lupa
push,push
anjir,anjir
ngrasa,rasa
brarti,berarti
jelekk,jelek
polll,pol
han,han
palang,palang
deh,deh
playstore,playstore
banyakhampir,banyak
sirkeltolong,tolong
ter,ter
parahtapi,parah
bloodmoon,bloodmoon
tlg,tolong
optimisasi,optimasi
itel,itel
globalsaya,global
korea,korea
fpsdi,fps
global,global
antolong,tolong
optimisasikan,optimasi
njir,anjir
met,met
rilog,relogin
teruss,terus
karnakan,karena
haha,haha
mulus,mulus
end,end
lite,lite
patah²karena,patah
masoh,masih
usahakn,usaha
maslahnya,masalah
keganti,ganti
klasikan,klasik
tdm,tdm
sepih,sepi
alangka,langkah
bgs,bagus
koleb,collab
cman,cuma
blom,belum
pocco,poco
duakali,dua
acuh,acuh
lagging,lag
waras,waras
guest,guest
sambung,sambung
wa,wa
samasekali,sama
karu,karu
karuan,karuan
rakus,rakus
kendali,kendali
late,late
ush,usah
sensitif,sensitif
fleksibel,fleksibel
kalok,kalau
sblumnya,belum
aman²,aman
dropnya,drop
bln,bulan
gejet,gadget
sedkit,dikit
sekrang,sekarang
tdak,tidak
perhatikan,perhatikan
gemar,gemar
kalangan,kalang
elite,elite
gaya,gaya
perkecil,kecil
sblum,belum
memo,memo
pertahankan,tahan
bosss,bos
pubgb,pubg
logingnya,login
bangat,banget
unduh,unduh
paranya,para
diberantaskan,berantas
ketiga,tiga
berantas,berantas
puassebenarnya,puas
bangattidak,tidak
arsitek,arsitek
papar,papar
lainnyadeveloper,developer
cinta,cinta
plerr,pler
macth,match
ngerasa,rasa
ampe,sampai
blg,bilang
emg,memang
scoope,scoope
buru,buru
gameframepakai,frame
tws,tws
speaker,speaker
matitapi,mati
of,off
mik,mic
nyalamohon,nyala
zonapadahal,zona
limit,limit
redmi,redmi
tekan,tekan
ranting,rating
ngeframe²,frame
promax,promax
ti,ti
wktu,waktu
canggihminimal,canggih
max,max
makai,maka
indihome,indihome
standar,standar
juta,juta
brebet,brebet
walopun,walaupun
nonton,nonton
ytube,youtube
developerframe,developer
mstolong,tolong
playerkalo,player
sepibtw,sepi
ip,ip
pm,pm
gban,gb
donwload,download
anyink,anjir
ngurang,kurang
hebat,hebat
score,skor
mensensuaikan,sesuai
keluarin,keluar
analog,analog
megang,pegang
lagbug,lag
enjoy,enjoy
hadeh,hadeh
ancur²,ancur
tulisanya,tulisan
ndak,tidak
habisin,habis
mbps,mbps
lerbaiki,baik
star,star
nyetak,cetak
messi,messi
mempengaruhi,pengaruh
rusaaak,rusak
jugak,juga
kyk,kayak
bales,bales
muluk,mulu
parahh,parah
bangett,banget
setting,setting
sensitivitas,sensitif
kesin,sin
down,down
gamplay,gameplay
troublewifi,troublewifi
pata²,pata
dibeneein,benar
mendingan,mending
bintng,bintang
binggung,bingung
popge,popge
soaalny,soal
kemarindi,kemarin
laut,laut
vampire,vampire
ump,ump
scarl,scar
atlantic,atlantic
selaluu,selalu
updetan,update
grapik,grafik
hv,hv
sedeng,sedang
dicastlenya,castle
parah²,parah
tanda²,tanda
brutal,brutal
relogin,relogin
lancarlancar,lancar
inj,ini
drope,drop
percumah,percuma
hancur,hancur
skarang,sekarang
lho,lho
size,size
kasian,kasian
bikik,buat
jd,jadi
both,bot
gatcha,gatcha
langka,langka
inventory,inventory
gaada,gaada
ngerush,rush
last,last
gmana,gimana
developersemenjak,developer
plus,plus
atmosfer,atmosfer
initiadakan,ini
rendahin,rendah
lh,lho
smo,smo
musim,musim
blokirsorry,blokir
kapok,kapok
blood,blood
moon,moon
bae,bae
dibilangin,bilang
macthnya,match
newstate,newstate
apredsemakin,apred
bersarram,besar
dimakangameini,makan
ahir,akhir
pemainkarena,player
penu,penu
remeini,reme
trjadi,terjadi
inigame,game
apred,apred
parahlah,parah
kerasa,rasa
medan,medan
skalinya,sekali
mendadak,dadak
orangmengalami,orang
ketikaa,ketika
periksa,periksa
ratasebagian,rata
digaris,garis
bahwain,bahwa
trima,terima
squadjaringan,squad
bagusmental,bagus
gametidak,game
lagipubg,pubg
malasah,masalah
freem,frame
cm,cm
atlantis,atlantis
happy,happy
atasnya,atas
ketahui,tahu
veteran,veteran
life,life
akibat,akibat
flame,flame
sekira,sekira
hand,hand
phone,phone
seriusrc,serius
oknum,oknum
ng,ng
haloween,haloween
aplh,apa
lngsung,langsung
mokad,mati
serangany,serang
nyeleneh,nyeleneh
cooldown,cooldown
jug,bug
dengn,dengan
pling,paling
keselin,kesal
fresh²,fresh
ngeline,line
dpn,depan
blakang,belakang
nganggu,ganggu
org,orang
diringanin,ringan
suhu,suhu
lagitolong,lagi
ocean,ocean
place,place
ajasekarang,aja
coc,coc
changer,changer
new,new
state,state
menurutku,turut
micsaya,mic
serang,serang
sendri,sendiri
jugal,juga
apasaya,apa
percya,percaya
riport,report
circle,circle
perbaikigak,perbaiki
gyroscop,gyro
keyboard,keyboard
mouse,mouse
smoke,smoke
playable,playable
dajjal,dajjal
bar,bar
diapa,apa
apain,apa
struk,struk
erosi,erosi
dekorasi,dekorasi
rumahmalh,rumah
tu,itu
dapetudah,dapat
kebangetan,banget
begok,bego
salahin,salah
memadai,pada
spam,spam
perbaikinamun,perbaiki
visual,visual
lobbyketika,lobi
bayang,bayang
wajah,wajah
gerigi,gerigi
latar,latar
blurkurang,blur
hdsedangkan,hd
sayaefek,efek
normal²,normal
sajajadi,saja
gha,tidak
musuhdan,musuh
buqnya,bug
bagushp,bagus
kipas,kipas
dingin,dingin
player²,player
bisah,bisa
turunin,turun
buqq²,bug
thankas,makasih
terbaruu,terbaru
nyawa,nyawa
framee,framee
frees,freeze
padahan,pada
bget,banget
mebagongkan,bagong
hadeuuhh,hadeh
yaaaaa,ya
simpati,simpati
xl,xl
im,im
wiffi,wifi
desa,desa
kota,kota
reputasimu,reputasi
hemat,hemat
minor,minor
kurangkurangin,kurang
anehaneh,aneh
yaaa,ya
sekentang,kentang
kbanyakan,banyak
ngframe,frame
anjriit,anjir
fan,kipas
cooler,cooler
ufdate,update
cras,crash
porce,force
menitan,menit
detect,detect
nyaa,nya
kontoll,kntl
pikir,pikir
mid,mid
tombolhp,tombol
apaintolong,apain
perbakin,perbaiki
perbaiko,perbaiki
meberikan,beri
dukukan,duku
ug,ug
fase,fase
lega,lega
jutaanagar,juta
tenchen,tencent
lategame,lategame
ngefreezee,freeze
kenpa,kenapa
berenti,berhenti
streamerkonten,streamer
creator,creator
ngeluh,keluh
steptembakan,step
mikirin,mikir
dibenerin,benar
hri,hari
jlshrusnya,jelas
mlh,malah
updat,update
downlodsbnrnya,download
lmyn,lumayan
syg,sayang
hrus,harus
bth,butuh
duitnya,duit
sedikitdan,sedikit
telalu,terlalu
apdet,update
letgame,lategame
napa,kenapa
ngefrm,frame
crafton,crafton
enk,enak
tanggepan,tanggapan
captcha,captcha
sesien,season
ngefrimemacet,frame
nypadahal,padahal
parahgame,parah
patahtolong,patah
gmeini,game
ringankan,ringan
halang,halang
gametrus,game
diaktifin,aktif
sembunyi,sembunyi
awkening,awakening
memumpuni,mumpuni
menuhin,penuh
operator,operator
toloool,tolol
perfoma,performa
kesel,kesal
vampirserigala,vampire
kendaraanterutama,kendaraan
jebak,jebak
pinggir,pinggir
pantaisangat,pantai
playersaat,player
lainpemain,lain
tumpuk,tumpuk
sepedasangat,sepeda
langkah,langkah
menghilangbahkan,hilang
bug²,bug
bar²tapi,barbar
loginpas,login
selsaiin,selesai
puzzelgame,puzzel
optimalin,optimal
smart,smart
graphicnya,grafik
pack,pack
duanya,dua
event²,event
ayo,ayo
bohong,bohong
bad,bad
kebawah,bawah
mengrmbalikan,balikan
terang,terang
kait,kait
enteng,ringan
jongkok,jongkok
hold,hold
or,or
tap,tap
roll,roll
updatedari,update
halus,halus
atap,atap
setalah,setelah
taunya,tau
mantaaaapppp,mantap
mengerti,ngerti
kn,kan
extrem,extreme
attachment,attachment
muzzle,puzzle
brake,brake
smg,semoga
sniper,sniper
dmr,dmr
bukak,buka
henpon,hp
curi,curi
tangani,tangan
kraftonapalgi,krafton
maksain,maksa
tampa,tanpa
setuju,setuju
penuhin,penuh
penyimpana,simpan
larang,larang
pungli,pungli
scra,secara
bgtupun,begitu
pakain,pakai
mpbs,mpbs
kesempatan,sempat
ginimalah,gini
gilak,gila
masik,masih
gaa,tidak
network,network
dipakai,pakai
koreksi,koreksi
infeneti,infinity
sekin,skin
gelesier,glacier
bugtombol,bug
unisital,uninstall
bwat,untuk
battleroyal,battleroyale
verivikasi,verifikasi
operating,operating
beres,selesai
kenok,knock
kin,kin
budeg,budeg
kuping,kuping
taeeeeekk,tai
udahku,sudah
stuk,stuck
stlah,setelah
ngegame,game
tangan,tangan
updetnya,update
parahjaringan,parah
mmsbug,bug
iven,event
kebukaselama,buka
rusakperbaikan,rusak
taiklah,tai
plyaler,player
masuh,masih
merekomendasiin,rekomendasi
ngeri,seram
worth,worth
colongan,colong
becus,becus
perusaahan,perusahaan
bntg,bntg
pelosok,pelosok
jendela,jendela
awan,awan
dngn,dengan
inisemakin,ini
laglagpdhl,lag
baikponselmemadai,baik
joss,jos
pergaikisaya,saya
diimbangi,imbang
sepadannya,sepadan
storage,storage
diperbarui,baru
phising,phising
hack…,hack
sensitif,sensitif
jaringansusah,jaringan
kencang,kencang
mikrofon,mic
nyala,nyala
ngobrol,ngobrol
ss,screenshot
jarang,jarang
samaa,sama
pbaharuan,baru
tuk,untuk
ge,ge
woii,woi
contohnya,contoh
apel,apel
manggil,manggil
untung,untung
balek,kembali
aing,saya
sebenernya,benar
kostum,kostum
neko,neko
nyampe,sampai
amn,aman
ras,rasa
byk,banyak
lanjutin,lanjut
prone,prone
kastil,kastil
ditempati,tempat
disitu,situ
operasi,operasi
dioperasikan,operasi
jalanin,jalanin
gegara,gara
bangke,bangsat
ditengah,tengah
gamepas,game
biasagiliran,biasa
ngefremm,frame
bgst,bangsat
nyusahin,susah
ndk,tidak
penjelasansebab,penjelasan
srigala,warewolf
ulasanmemang,ulasan
adanyasetelah,ada
bloodmoonsering,bloodmoon
dropterutama,drop
serigalavampire,warewolf
droppatah,drop
patahnyamohon,patah
perbanyak,banyak
benarkan,benar
perihal,perihal
usahain,usaha
keseringan,sering
tusun,turun
dwonloading,download
resources,resources
angkasa,angkasa
lonjak,lonjak
haaa,ha
hela,hela
nafas,nafas
yuuk,yuk
yuuuk,yuk
mind,mind
nanyakk,nanya
setiapp,setiap
sudahh,sudah
masukk,masuk
haruss,harus
instal,install
ngerti,ngerti
pening,pening
istirahat,istirahat
kerjasukses,kerja
pugbterima,pugb
dl,dulu
complete,complete
grafic,grafik
bangasatt,bangsat
taiiii,tai
frmee,frame
lahhh,lah
bangsattt,bangsat
taiii,tai
droppp,drop
jaringanku,jaring
ngrasain,rasa
suren,suren
mslh,masalah
jaringanya,jaringan
gag,lag
bs,bisa
tenang,tenang
ayoh,ayo
gni,gini
tiba²,tiba
patah²nya,patah
ifen,event
degan,dengan
tracking,tracking
ngelagperang,lag
khh,kah
streamer,streamer
tolonglahh,tolong
lainnge,lain
cherparknya,cherpark
kendaraanya,kendaraan
dapatkah,dapat
bangkelah,bangsat
pubjiji,pubg
menyebalkansaya,kesal
usul,usul
memakaimenjadi,pakai
amonyaitu,itu
ngebugnya,bug
percepat,cepat
mo,mo
xiaomi,xiaomi
microphone,mic
bicara,bicara
fixing,fixing
slow,slow
karn,karena
sibuk,sibuk
keseharianstlh,sehari
bbrp,berapa
aq,aku
mlai,mulai
pubgmalhamdulilah,pubg
mainya,main
setingnya,setting
oklahcmn,oke
pemainya,player
sepimudahan,sepi
maintp,main
sngt,sangat
skl,sekali
trmaksih,makasih
tensent,tencent
perbaikipas,perbaiki
giro,gyro
mutar²,mutar
downloading,download
penjelasanya,penjelasan
uptidet,update
tampil,tampil
devis,device
uptudetan,update
develover,developer
pubgmobile,pubg
imbas,imbas
globalnya,global
tempel,tempel
china,china
naxt,next
capai,capai
orangmalah,orang
ucjelas,jelas
tolakmalahan,tolak
bela,bela
nyuri,curi
rawat,rawat
naikin,naik
graphic,grafik
pertajam,tajam
ditel,detail
gemmkikir,game
bugbahkan,bug
sia²,sia
po,po
kartu,kartu
nyamata,mata
duwitan,duit
doanggem,doang
perhatiin,perhatikan
nyaapubg,pubg
serame,rame
angap,anggap
sepele,sepele
disambungin,sambung
hufff,huft
milih,pilih
emailnya,email
diganti,ganti
lagipadahal,lagi
diarahkan,arah
dipesawat,pesawat
tolongg,tolong
opstacle,opstacle
varian,varian
tiernya,tier
eehh,eh
ditolakkatanya,tolak
ribu,ribu
liar,liar
dlltoling,toling
sosial,sosial
media,media
tertarik,tarik
gamegame,game
gantung,gantung
bermaindan,main
biasabiasa,biasa
memori,memori
range,range
qlow,qlow
pasal,pasal
let,let
feed,feed
ngunduh,unduh
kegini,gini
store,store
patahturun,patah
framelag,frame
iklan,iklan
sarann,saran
tengkorak,tengkorak
kebakar,bakar
besok,besok
cowboy,cowboy
kudanyajadi,kudai
eventmakin,event
kesana,kesana
ai,ai
tibakeluar,tiba
bermainku,main
serigalavampir,warewolf
gejalas,gejelas
developernya,developer
hitbox,hitbox
barengan,bareng
dua²nya,dua
kelelawar,kelelawar
efektif,efektif
bag,bug
nyleneh,aneh
shooting,shooting
sukatp,suka
donguntuk,untuk
puzzlegegara,puzzle
bantinguda,banting
nyusun,nyusun
mala,malah
aturan,atur
hud,hud
ngeliat,lihat
okelah,oke
batasin,batas
nonstop,nonstop
nyaladi,nyala
pisah,pisah
hpnya,hp
loybi,lobi
impian,impian
restart,restart
sebagainyattp,sebagai
cheer,cheer
park,park
kunci,kunci
ribuan,ribu
lagijangan,lagi
updatejangan,update
dwld,download
dalemnya,dalam
lagipaket,lagi
cuk,cok
luck,luck
yamulay,mulai
istana,istana
kelelawarbagi,kelelawar
ransel,ransel
diroll,roll
repaire,repaire
benarkarena,benar
gopubgm,pubg
pubgmakin,pubg
lagikarena,lagi
indonesia,indonesia
srigalanya,warewolf
niak,naik
hindar,hindar
revive,revive
friendly,friendly
berhentiin,berhenti
ketidaksengajaan,tidaksengaja
diberhentikan,berhenti
kontl,kntl
jt,juta
katarak,katarak
guru,guru
rotasi,rotasi
takluk,takluk
samudra,samudra
nyelesain,selesai
indonesiaan,indonesia
nyuport,support
masukin,masuk
mengecek,ejek
bete,kesal
ngeras,keras
keduluan,dulu
medium,medium
dibukain,buka
otu,atau
ingamebattlematch,battle
jejak,jejak
soundnya,sound
musik,musik
background,background
ui,ui
start,start
ditanggapi,tanggap
say,saya
sekikir,kikir
puluh,puluh
abal,abal
heronya,hero
usang,usang
kya,kayak
upnya,up
dijngkau,jangkau
batal,batal
ajalah,aja
cowok,cowok
tersedia,sedia
mohonlah,mohon
linghtspeed,lightspeed
studio,studio
sedia,sedia
woy,woy
gtu,gitu
nyadar,sadar
gara²,gara
gedenya,gede
haluan,haluan
umpan,umpan
smbil,sambil
kmi,kami
lbh,lebih
sendirijdi,sendiri
dlukreafton,kreafton
permainannyajelek,permainan
blokir,blokir
permanen,permanen
buatin,buat
kngen,kangen
eventt,event
ekstrem,ekstrem
ngendok,ngendok
batas,batas
keringat,keringat
sangka,sangka
hadeehh,hadeh
by,by
one,one
updete,update
keteragan,terang
pkek,pakai
wafi,wifi
rasain,rasa
ngepron,ngepron
putar,putar
alias,alias
kpada,kepada
perhatikn,perhatikan
tibe,tibe
sndri,sendiri
smpai,sampai
nch,nch
pda,pada
direspon,respon
pubgdi,pubg
dlam,dalam
selsaiadehmnta,selesai
permain,main
bruk,buruk
trusskrang,terus
ksih,kasih
bntang,bintang
tanggapi,tanggap
akn,akan
nyelenehsaya,aneh
nyapadahal,padahal
sasik,asik
klasiksukses,klasik
purba,purba
majuu,maju
kehalang,halang
dinding,dinding
mach,match
kelobi,lobi
ampunkqmi,ampun
mulqi,mulqimulai
spk,spek
kai,kai
kqmi,kami
gqme,game
ngerespon,respon
lagj,lagi
oiiii,oi
nyaterus,terus
kebayakan,banyak
kompatibel,kompatibel
ngedrop,drop
gausah,gausah
daun,daun
palyer,player
clam,klaim
tautkan,taut
gwe,saya
sihh,sih
garafiknya,grafik
haduhh,hadeh
masia,masih
pamit,pamit
angkat,angkat
agustus,agustus
turnament,turnament
layout,layout
maks,maksimal
splus,plus
lunak,lunak
retry,retry
maptolong,map
ngfrezee,freeze
patahpatahtapi,patah
adabaru,ada
anydia,dia
unfriend,unfriend
makandan,makan
akuselamat,selamat
kaka,kaka
jaga,jaga
yabtw,ya
backgroundnya,background
abad,abad
roleback,roleback
linknya,link
apaaan,apa
tower,tower
ampass,ampas
ae,ae
hpku,hp
codm,cod
jauhh,jauh
teruuusss,terus
nda,tidaak
teroooosssss,terus
parahpadahal,parah
brubah,berubah
mekanikal,mekanik
menya,menya
mai,mai
ji,ji
cabut,cabut
tunggang,tunggang
rivev,revive
fitu,fitur
dievent,event
perbaikisemenjak,perbaiki
asus,asus
rog,rog
daownload,download
alasanya,alasan
signal,sinyal
yetep,tetap
baguscuman,bagus
ngebubrotasinya,rotasi
perbaikimusuh,perbaiki
matigame,mati
anjingggggg,anjing
ngotakkirain,kirain
sampahhhh,sampah
updatan,update
mainn,main
androidmakin,android
blm,belum
mario,mario
bros,bros
gameevant,game
jelasterlalu,jelas
klaim,klaim
gunanyadi,guna
evant,event
senjatabaju,senjata
tamba,tambah
musu,musuh
updatd,update
punah,punah
skinnnnn,skin
beratttttttttttttttt,berat
nyari,cari
minim,minim
ribetin,ribet
checking,check
updates,update
andro,android
wilayah,wilayah
dukungkenapa,dukung
emangnya,emang
tomlol,tolol
siasiakan,sia
lamamakan,lama
sayagak,saya
fc,fc
hati,hati
cheking,check
responmasalah,respon
terselesaikan,selesai
trimkasih,makasih
fun,fun
kartun,kartun
perkuattiap,kuat
kebanyakaan,banyak
updett,update
trusss,terus
spekk,spek
lemott,lemot
sekrangg,sekarang
donwloading,download
slesai,selesai
udha,udah
kapasitasnyamembuat,kapasitas
fitur²,fitur
rumahcheerpark,rumah
lain²,lain
glazier,glacier
diseason,season
beruntung,untung
halaman,halaman
seharian,hari
forclose,close
setalh,setelah
stuc,stuck
sia,sia
pa,pa
lobbytolong,lobi
solisinya,solusi
mantul,mantul
kemarinkemarin,kemarin
werewolf,werewolf
telepon,telepon
sayasamsung,samsung
galaxy,galaxy
begoooo,bego
semalem,semalem
siang,siang
nguras,nguras
bayak,banyak
satunya,satu
stak,stuck
loginmasalah,login
tahap,tahap
updating,update
udsh,udah
invinity,invinity
bodoh,bodoh
hplu,hp
protes,protes
canggih,canggih
kentanglu,kentang
terussa,terus
dimatiin,mati
mentang,mentang
memenuhin,menuh
nyh,nya
mksih,makasih
youtube,youtube
browsing,browsing
winbiarkan,win
moba,moba
tiru,tiru
as,as
pleasee,please
tolongin,tolong
wolverine,warewolf
tebal,tebal
kabur,kabur
nalar,nalar
os,os
tapiiii,tapi
ver,ver
unistal,uninstall
org²,orang
pandai,pandai
reacall²,recall
ubdate,update
pupg,pubg
check,check
tungguan,tunggu
ujungujungya,ujung
gi,gi
libas,libas
nyasaya,saya
ngejim,gym
tencend,tencent
kasihlah,kasih
buatlah,buat
matchingnya,match
yaelah,yaelah
bahas,bahas
objek,objek
suasanasuara,suasana
dapar,dapat
gmail,gmail
pisahin,pisah
pcemulator,simulator
ipadios,ipad
lebar,lebar
yaamasa,masa
rabu,rabu
le,le
grapick,grafik
smoot,smooth
seasondan,season
seson,season
vest,vest
devloper,developer
ubah²,ubah
have,have
gg,gg
mityc,mythic
diley,diley
gafik,grafik
hdrnya,hdr
diseting,setting
berulangulangping,ulang
paspasan,pas
wkwkwkwk,wkwk
loginudh,login
tertera,tertera
keram,keram
jempol,jempol
detiap,setiap
hargai,harga
naga,naga
ato,atau
ios,ios
ajala,aja
nempel,nempel
mabaryang,mabar
lainyakarna,lain
sgi,segi
ngebugnyatolong,bug
lagidan,lagi
do,do
want,want
enable,enable
depending,depending
your,your
plan,plan
this,this
cost,cost
fee,fee
terjemah,terjemah
biaya,biaya
hilangtololng,hilang
hbs,habis
ubdet,update
dta,data
